,alert_type,headline,url,post
2,Road Conditions,"Water receded on I-29, 20 miles north of Grand Forks",/dotnet/news/Public/View/8335,"Water has receded on northbound I-29 approximately 20 miles north of Grand Forks. The roadway is open to two lanes of traffic and speeds are normal.
Motorists should drive with caution as flooding continues to affect area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website: www.dot.nd.gov.
Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway. NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water.
For statewide flooding information, please go to https://ndresponse.gov/"
3,Road Conditions,ND Hwy 5 temporarily closed from I-29 to the Red River,/dotnet/news/Public/View/8334,"The North Dakota Department of Transportation has temporarily closed ND Hwy 5 from I-29 to the Red River (Exit 203 near Joliette) due to water on the roadway. This road will remain closed until river levels recede. Motorists will need to take an alternate route.
The NDDOT urges motorists to check road conditions before traveling due to rapidly changing conditions. Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov.
For statewide flooding information, please go to https://ndresponse.gov/"
4,Road Conditions,Water on I-29 north of Grand Forks,/dotnet/news/Public/View/8333,"There is water on the southbound lanes of I-29 approximately 25 miles north of Grand Forks. The roadway is reduced to one lane. Traffic is allowed with traffic speeds reduced and traffic control is in place.
NDDOT encourages motorists to check road conditions before traveling. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov"
5,Road Conditions,Water on I-29 north of Grand Forks,/dotnet/news/Public/View/8332,"There is water on the northbound lanes of I-29 approximately 20 miles north of Grand Forks. The roadway is reduced to one lane. Traffic is allowed with traffic speeds reduced and traffic control is in place.
NDDOT encourages motorists to check road conditions before traveling. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov."
6,Road Conditions,Southbound on ramp on I-29 Exit 164 north of Grand Forks temporarily closed,/dotnet/news/Public/View/8331,"The North Dakota Department of Transportation has temporarily closed the southbound on ramp on I-29 Exit 164, approximately 20 miles north of Grand Forks, due to water on the roadway. The northbound off ramp on I-29 at Exit 164 remains closed. The ramps will be closed until river levels recede. Motorists will need to take an alternate route.
The NDDOT urges motorists to check road conditions before traveling due to rapidly changing conditions. Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov.
For statewide flooding information, please go to https://ndresponse.gov/"
7,Road Conditions,I-29 OPEN from Grand Forks to Canadian border  ,/dotnet/news/Public/View/8330,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have OPENED I-29 from Grand Forks to the Canadian border. According to South Dakota DOT, I-29 is now open at the North Dakota border.
A Travel Alert is in effect for all of eastern North Dakota due to compacted snow and ice on the roadways. Cities included in the Travel Alert are Jamestown, Valley City, Edgeley, Ellendale, Wahpeton, Fargo, Grand Forks and surrounding areas. A Travel Alert means motorists can travel, but should be aware of winter driving conditions and should slow down.  
The NDDOT is also urging motorists to use caution if traveling in eastern North Dakota because due to current flood conditions this spring, there is extra concern for motorists due to water filled ditches along many roadways. Motorists should slow down and drive for the conditions.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
8,Road Conditions,I-29 OPEN from Fargo to SD border; Hwy. 13 OPEN  ,/dotnet/news/Public/View/8329,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have OPENED I-29 from Fargo to the South Dakota border. (Please note, I-29 remains closed in South Dakota at this time). In addition ND Highway 13 from I-29 to Wahpeton is now OPEN.
NDDOT and NDHP have lifted the No Travel Advisory for the Lisbon, Wahpeton and surrounding areas. A Travel Alert is in effect for all of eastern North Dakota due to compacted snow and ice on the roadways. Cities included in the Travel Alert are Jamestown, Valley City, Edgeley, Ellendale, Wahpeton, Fargo, Grand Forks and surrounding areas. A Travel Alert means motorists can travel, but should be aware of winter driving conditions and should slow down.  
Road Closures currently in place:

I-29 CLOSED from the Canadian Border to Grand Forks

The NDDOT is also  urging motorists to use caution if traveling in eastern North Dakota because due to current flood conditions this spring, there is extra concern for motorists due to water filled ditches along many roadways. Motorists should slow down and drive for the conditions.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
9,Road Conditions,No Travel Advisory lifted for areas in south central ND,/dotnet/news/Public/View/8328,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have lifted the No Travel Advisory for Edgeley, Ellendale, Ashley and surrounding areas in south central North Dakota. A No Travel Advisory remains in effect for Lisbon, Wahpeton and surrounding areas at this time due to hazardous driving conditions.  A No Travel Advisory means conditions are such that motorists should not travel in these areas.
Road Closures currently in place:

 I-29 CLOSED from the Canadian Border to Grand Forks
I-29 CLOSED from Fargo to the South Dakota Border
ND Highway 13 CLOSED from I-29 to Wahpeton

  The NDDOT is also  urging motorists to use caution if planning to travel this week in eastern North Dakota because due to current flood conditions this spring, there is extra concern for motorists due to water filled ditches along many roadways in eastern North Dakota. Motorists should slow down and drive for the conditions if road conditions deteriorate.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
10,Road Conditions,I-94 from Jamestown to Fargo OPEN; I-29 from Fargo to Grand Forks OPEN,/dotnet/news/Public/View/8327,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have opened I-94 from Jamestown to Fargo and I-29 from Fargo to Grand Forks. Motorists will need to drive for conditions and proceed with caution due to compacted ice and snow still present on the roadway.
A No Travel Advisory is still in effect for portions of southcentral and eastern North Dakota due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions. Cities included in the No Travel Advisory are Lisbon, Edgeley, Ellendale, Ashley, Wahpeton and surrounding areas.
A No Travel Advisory means conditions are such that motorists should not travel in these areas.
Road Closures currently in place: 

I-29 CLOSED from the Canadian Border to Grand Forks
I-29 CLOSED from Fargo to the South Dakota Border.
ND Highway 13 CLOSED from I-29 to Wahpeton  

The NDDOT is also  urging motorists to use caution if planning to travel this week in eastern North Dakota because due to current flood conditions this spring, there is extra concern for motorists due to water filled ditches along many roadways in eastern North Dakota. Motorists should slow down and drive for the conditions if road conditions deteriorate.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
11,Road Conditions,No Travel Advisory extended to portions of southcentral and eastern North Dakota,/dotnet/news/Public/View/8326,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have extended the No Travel Advisory to portions of southcentral and eastern North Dakota due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions. Cities included in the No Travel Advisory are Linton, Grand Forks, Grafton, Larimore, and surrounding areas. A No Travel Advisory means conditions are such that motorists should not travel in these areas.
I-29 CLOSED from the Canadian Border to the South Dakota Border.
I-94 CLOSED from Jamestown to Fargo.
ND Highway 13 CLOSED from I-29 to WahpetonA No Travel Advisory is still in effect for east of Jamestown, Hillsboro, Valley City, Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley, Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions. Commercial Motor Vehicle parking is becoming LIMITED at the interstate closure points in eastern North Dakota. Commercial Motor Vehicles should consider stopping prior to closure points. Jamestown especially has limited truck park available and commercial trucks should consider stopping in Bismarck or Steele. The three categories are as follows:1. TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.2. NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate. 3. ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.For statewide flooding information, please go https://ndresponse.gov/"
