,publishedAt,content,url,locations_and_times
0,2019-04-04T11:48:00Z,"Spaceflight company SpaceX test-fired the engines of its prototype Starship vehicle on Wednesday at its Boca Chica, Texas, test facility, the Verge reported, in a static fire configuration that saw the spacecraft tethered to the ground.
SpaceX calls the prot… [+2422 chars]",https://gizmodo.com/spacex-successfully-test-fires-its-starhopper-prototype-1833799522,"[('Wednesday', 'DATE'), ('Boca Chica', 'GPE'), ('Texas', 'GPE')]"
1,2019-03-31T12:12:35Z,"A forest fire in Burlington County has grown to more than 5,000 acres, forcing a road closure and voluntary evacuations.",https://news.yahoo.com/forest-fire-continues-burn-burlington-121235062.html,"[('Burlington County', 'GPE')]"
2,2019-04-07T06:36:00Z,"The ban on civilian traffic on the national highway from Jammu to Srinagar came into effect today, stranding thousands of travellers. 
From early in the morning, police, CRPF and army jawans began enforcing the ban on civilian traffic on the national highway… [+4373 chars]",https://www.hindustantimes.com/india-news/two-day-per-week-ban-on-civilian-vehicles-on-jammu-srinagar-highway-comes-into-force/story-xPp1pORd8OhwiLiZTI3XKJ.html,"[('Jammu', 'GPE'), ('Srinagar', 'GPE'), ('today', 'DATE')]"
3,2019-04-06T22:24:00Z,"Electricity has been mostly restored on Vancouver Island after strong winds toppled trees and knocked out power lines, but ferry cancellations mean some customers could be without power overnight.
 About 12,000 homes and businesses on the southern part of th… [+2003 chars]",https://www.timescolonist.com/news/local/power-restored-to-most-after-storm-but-ferry-cancellations-mean-some-will-have-to-wait-1.23783129,"[('Vancouver Island', 'GPE')]"
4,2019-04-07T20:06:52Z,"Officials at Kruger National Park in South Africa said a suspected rhino poacher was killed by an elephant and his remains eaten by lions. Pictured here, an elephant in the park in 2016.
Kevin Anderson/AP
A suspected rhino poacher was killed by an elephant … [+2508 chars]",https://www.npr.org/2019/04/07/710840965/suspected-rhino-poacher-killed-by-elephant-eaten-by-pride-of-lions-in-south-afri,"[('South Africa', 'GPE'), ('2016', 'DATE')]"
5,2019-04-10T15:15:00Z,"This article originally appeared on VICE UK.
Just over two weeks ago, on March 26, hundreds of thousands of people worldwide logged on to the dark net market site, Dream, and found the following message: 
All buying and selling on Dream (the largest, longes… [+8164 chars]",https://www.vice.com/en_us/article/wjmw3w/the-worlds-biggest-dark-net-market-has-shut-downwhats-next,"[('UK', 'GPE'), ('two weeks ago', 'DATE'), ('March 26', 'DATE')]"
6,2019-03-27T21:12:56Z,"The FBI and Boston police are looking to identify four witnesses in connection with the kidnapping of 23-year-old Jassy Correia, a young mom who police say was killed after leaving a Boston nightclub.
The four people -- seen in this surveillance video from t… [+1444 chars]",https://abcnews.go.com/US/fbi-releases-video-effort-identify-witnesses-boston-mom/story?id=61987360,"[('Boston', 'GPE'), ('Boston', 'GPE')]"
7,2019-04-10T15:15:00Z,"This article originally appeared on VICE UK.
Just over two weeks ago, on March 26, hundreds of thousands of people worldwide logged on to the dark net market site, Dream, and found the following message: 
All buying and selling on Dream (the largest, longes… [+8164 chars]",https://www.vice.com/en_us/article/wjmw3w/the-worlds-biggest-dark-net-market-has-shut-downwhats-next-1,"[('UK', 'GPE'), ('two weeks ago', 'DATE'), ('March 26', 'DATE')]"
8,2019-04-04T21:55:29Z,"SRINAGAR: Governments decision to bar civilian traffic on the Srinagar-Jammu highway on Wednesdays and Sundays as a preventive measure against fidayeen attacks during troop movements, triggered an outcry from traders, tour operators and politicians.
On any g… [+2504 chars]",https://timesofindia.indiatimes.com/india/jk-outcry-over-national-highway-closure-for-troops-movement/articleshow/68730912.cms,"[('Wednesdays and Sundays', 'DATE')]"
9,2019-03-15T23:45:00Z,"YOUNGSVILLE, La. (KLFY) - Chemin Metairie Road is currently closed from the Detente road intersection to the Guillot road intersection.
Cajun Market Meats falls right inside that area and owner, Paul Hebert, says the closure will negatively affect them.
""I … [+1568 chars]",https://www.klfy.com/news/local/youngsville-road-closure-affecting-business/1852674637,"[('La.', 'GPE'), ('Detente', 'GPE')]"
