,date,text,keywords,location,source,ngrams,spacy_location,spacy_location_no_ngram
0,2019-04-11 16:41:28+00:00,"I-94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.",,,twitter,(94 Clearwater) (94 Clearwater St) (Clearwater St) (Clearwater St Cloud) (Cloud directions) (Cloud directions closed) (I 94) (I 94 Clearwater) (Postpone travel) (Postpone travel possible) (Roads icy) (Roads icy compacted) (St Cloud) (St Cloud directions) (closed semi) (closed semi crashes) (compacted high) (compacted high winds) (crashes Roads) (crashes Roads icy) (directions closed) (directions closed semi) (high winds) (high winds Postpone) (icy compacted) (icy compacted high) (semi crashes) (semi crashes Roads) (travel possible) (winds Postpone) (winds Postpone travel) (text_combined) ,94 Clearwater St St Cloud Cloud Cloud 94 St Cloud St Cloud Postpone Postpone Postpone ,94 Clearwater St St Cloud Cloud Cloud 94 St Cloud St Cloud Postpone Postpone Postpone 
1,2019-04-11 12:33:31+00:00,"Hazardous driving conditions with ice covered or compacted roads in nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , #Sherburne and Mille Lacs counties. I-94 remains closed between Monticello and Albertville. Consider postponing any unnecessary travel.",#Sherburne,,twitter,(94 remains) (94 remains closed) (Albertville Consider) (Albertville Consider postponing) (BentonCountyMN Sherburne) (BentonCountyMN Sherburne Mille) (Consider postponing) (Consider postponing unnecessary) (Hazardous driving) (Hazardous driving conditions) (I 94) (I 94 remains) (Lacs counties) (Lacs counties I) (Mille Lacs) (Mille Lacs counties) (Monticello Albertville) (Monticello Albertville Consider) (Sherburne Mille) (Sherburne Mille Lacs) (StearnsCountyMN WrightCountyMN) (StearnsCountyMN WrightCountyMN BentonCountyMN) (WrightCountyMN BentonCountyMN) (WrightCountyMN BentonCountyMN Sherburne) (closed Monticello) (closed Monticello Albertville) (compacted roads) (compacted roads nearly) (conditions ice) (conditions ice covered) (counties I) (counties I 94) (covered compacted) (covered compacted roads) (driving conditions) (driving conditions ice) (ice covered) (ice covered compacted) (nearly StearnsCountyMN) (nearly StearnsCountyMN WrightCountyMN) (postponing unnecessary) (postponing unnecessary travel) (remains closed) (remains closed Monticello) (roads nearly) (roads nearly StearnsCountyMN) (unnecessary travel) (text_combined) ,94 94 Albertville Consider Albertville BentonCountyMN Sherburne BentonCountyMN Sherburne Mille 94 94 Mille Lacs Mille Lacs Monticello Albertville Sherburne Mille Sherburne Mille Lacs WrightCountyMN BentonCountyMN WrightCountyMN BentonCountyMN Sherburne Monticello Monticello Albertville 94 StearnsCountyMN Monticello StearnsCountyMN ,94 94 Albertville Consider Albertville BentonCountyMN Sherburne BentonCountyMN Sherburne Mille 94 94 Mille Lacs Mille Lacs Monticello Albertville Sherburne Mille Sherburne Mille Lacs WrightCountyMN BentonCountyMN WrightCountyMN BentonCountyMN Sherburne Monticello Monticello Albertville 94 StearnsCountyMN Monticello StearnsCountyMN 
2,2019-03-22 21:44:50+00:00,Hwy 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,,,twitter,(95 Fanny) (95 Fanny Lake) (Cambridge closed) (Cambridge closed crash) (Expect delays) (Fanny Lake) (Fanny Lake Road) (Hwy 95) (Hwy 95 Fanny) (Lake Road) (Lake Road just) (Road just) (Road just east) (Traffic detoured) (Traffic detoured Expect) (closed crash) (closed crash Traffic) (crash Traffic) (crash Traffic detoured) (detoured Expect) (detoured Expect delays) (east Cambridge) (east Cambridge closed) (just east) (just east Cambridge) (text_combined) ,95 Fanny Lake Cambridge Cambridge Fanny Lake Fanny Lake Road Hwy 95 Lake Road Lake Road Traffic Traffic Traffic Cambridge Cambridge Cambridge ,95 Fanny Lake Cambridge Cambridge Fanny Lake Fanny Lake Road Hwy 95 Lake Road Lake Road Traffic Traffic Traffic Cambridge Cambridge Cambridge 
3,2019-03-14 19:53:18+00:00,Ramp from Stearns County Road 75 to eastbound I-94 is temporarily closed due to flooding.,,,twitter,(75 eastbound) (75 eastbound I) (94 temporarily) (94 temporarily closed) (County Road) (County Road 75) (I 94) (I 94 temporarily) (Ramp Stearns) (Ramp Stearns County) (Road 75) (Road 75 eastbound) (Stearns County) (Stearns County Road) (closed flooding) (eastbound I) (eastbound I 94) (temporarily closed) (temporarily closed flooding) (text_combined) ,75 75 94 94 County Road County Road 75 94 94 Ramp Stearns Ramp Stearns County 75 75 Stearns County Stearns County Road 94 ,75 75 94 94 County Road County Road 75 94 94 Ramp Stearns Ramp Stearns County 75 75 Stearns County Stearns County Road 94 
4,2019-02-20 20:03:32+00:00,"Correction/update - EB I-94 at Hwy 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along I-94 and other roads in CentralMN. Plows on I-94 (and other roads) roll at approx. 30 mph when removing snow.",,,twitter,(30 mph) (30 mph removing) (4 near) (4 near Melrose) (94 Hwy) (94 Hwy 4) (94 roads) (94 roads CentralMN) (94 roads roll) (CentralMN Plows) (CentralMN Plows I) (Correction update) (Correction update EB) (EB I) (EB I 94) (Hwy 4) (Hwy 4 near) (I 94) (I 94 Hwy) (I 94 roads) (Melrose closed) (Melrose closed Snowplow) (Plows I) (Plows I 94) (Slow plows) (Slow plows working) (Snowplow hit) (Snowplow hit Slow) (approx 30) (approx 30 mph) (closed Snowplow) (closed Snowplow hit) (hit Slow) (hit Slow plows) (mph removing) (mph removing snow) (near Melrose) (near Melrose closed) (plows working) (plows working I) (removing snow) (roads CentralMN) (roads CentralMN Plows) (roads roll) (roads roll approx) (roll approx) (roll approx 30) (update EB) (update EB I) (working I) (working I 94) (text_combined) ,30 mph 30 mph Melrose 94 94 94 CentralMN 94 CentralMN Plows EB EB EB 94 Hwy 4) Hwy 4 94 94 30 30 mph Snowplow Snowplow hit Slow Melrose Melrose CentralMN CentralMN Plows 30 EB EB ,30 mph 30 mph Melrose 94 94 94 CentralMN 94 CentralMN Plows EB EB EB 94 Hwy 4) Hwy 4 94 94 30 30 mph Snowplow Snowplow hit Slow Melrose Melrose CentralMN CentralMN Plows 30 EB EB 
5,2018-12-17 20:35:21+00:00,"Eastbound I-94 is closed in Monticello (vehicle fire). Avoid the area, seek an alternate route. WB near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN",,,twitter,(94 closed) (94 closed Monticello) (Avoid area) (Avoid area seek) (Eastbound I) (Eastbound I 94) (I 94) (I 94 closed) (Keep eyes) (Keep eyes road) (Monticello slow) (Monticello slow Keep) (Monticello vehicle) (Monticello vehicle Avoid) (WB near) (WB near Monticello) (ahead slow) (ahead slow needed) (alternate route) (alternate route WB) (area seek) (area seek alternate) (closed Monticello) (closed Monticello vehicle) (eyes road) (eyes road ahead) (moving WrightCountyMN) (near Monticello) (near Monticello slow) (needed traffic) (needed traffic moving) (road ahead) (road ahead slow) (route WB) (route WB near) (seek alternate) (seek alternate route) (slow Keep) (slow Keep eyes) (slow needed) (slow needed traffic) (traffic moving) (traffic moving WrightCountyMN) (vehicle Avoid) (vehicle Avoid area) (text_combined) ,94 94 Monticello 94 94 94 Keep WB WB Monticello WB Monticello Monticello WrightCountyMN Monticello Monticello WB WB Keep Keep WrightCountyMN Avoid ,94 94 Monticello 94 94 94 Keep WB WB Monticello WB Monticello Monticello WrightCountyMN Monticello Monticello WB WB Keep Keep WrightCountyMN Avoid 
6,2018-08-28 16:03:45+00:00,"Hwy 210 Brainerd to Ironton will be closed, detoured and reconstructed in 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ #Brainerd #Ironton #Crosby #CentralMN pic.twitter.com/Q8D10Da5qe",#Brainerd #Ironton #Crosby #CentralMN,,twitter,(142 Brainerd) (142 Brainerd https) (16589 County) (16589 County Road) (2019 Get) (2019 Get details) (210 Brainerd) (210 Brainerd Ironton) (ADqEEQ Brainerd) (ADqEEQ Brainerd Ironton) (Brainerd Ironton) (Brainerd Ironton Crosby) (Brainerd Ironton closed) (Brainerd https) (Brainerd https goo) (CentralMN pic) (CentralMN pic twitter) (County Road) (County Road 142) (Crosby CentralMN) (Crosby CentralMN pic) (Get details) (Get details questions) (Hwy 210) (Hwy 210 Brainerd) (Ironton Crosby) (Ironton Crosby CentralMN) (Ironton closed) (Ironton closed detoured) (Road 142) (Road 142 Brainerd) (answered tonight) (answered tonight s) (closed detoured) (closed detoured reconstructed) (com Q8D10Da5qe) (details questions) (details questions answered) (detoured reconstructed) (detoured reconstructed 2019) (gl ADqEEQ) (gl ADqEEQ Brainerd) (goo gl) (goo gl ADqEEQ) (house 16589) (house 16589 County) (https goo) (https goo gl) (open house) (open house 16589) (pic twitter) (pic twitter com) (questions answered) (questions answered tonight) (reconstructed 2019) (reconstructed 2019 Get) (s open) (s open house) (tonight s) (tonight s open) (twitter com) (twitter com Q8D10Da5qe) (text_combined) ,142 Brainerd 142 Brainerd 16589 County 16589 County Road 2019 2019 210 Brainerd Brainerd Ironton ADqEEQ Brainerd ADqEEQ Brainerd Ironton Brainerd Ironton Brainerd Ironton Crosby Brainerd Ironton Brainerd Brainerd CentralMN CentralMN County Road County Road 142 Crosby Crosby CentralMN Ironton Crosby Ironton Crosby CentralMN Ironton Ironton 142 142 tonight tonight Q8D10Da5qe 2019 ADqEEQ Brainerd ADqEEQ 16589 16589 16589 tonight 2019 2019 tonight tonight Q8D10Da5qe ,142 Brainerd 142 Brainerd 16589 County 16589 County Road 2019 2019 210 Brainerd Brainerd Ironton ADqEEQ Brainerd ADqEEQ Brainerd Ironton Brainerd Ironton Brainerd Ironton Crosby Brainerd Ironton Brainerd Brainerd CentralMN CentralMN County Road County Road 142 Crosby Crosby CentralMN Ironton Crosby Ironton Crosby CentralMN Ironton Ironton 142 142 tonight tonight Q8D10Da5qe 2019 ADqEEQ Brainerd ADqEEQ 16589 16589 16589 tonight 2019 2019 tonight tonight Q8D10Da5qe 
7,2018-07-13 21:11:52+00:00,"Surface water/flooding continues on area roads in Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy",,,twitter,(511mn org) (511mn org latest) (Aitkin Kanabec) (Aitkin Kanabec counties) (For safety) (For safety stay) (Kanabec counties) (Kanabec counties For) (Lacs Aitkin) (Lacs Aitkin Kanabec) (Mille Lacs) (Mille Lacs Aitkin) (Please check) (Please check http) (State road) (State road info) (Surface water) (Surface water flooding) (area roads) (area roads Mille) (areas follow) (areas follow road) (caution Please) (caution Please check) (check http) (check http 511mn) (closed areas) (closed areas follow) (com ZxinL8ZBBy) (continues area) (continues area roads) (counties For) (counties For safety) (drive caution) (drive caution Please) (flooding continues) (flooding continues area) (follow road) (follow road signs) (http 511mn) (http 511mn org) (info pic) (info pic twitter) (latest State) (latest State road) (org latest) (org latest State) (pic twitter) (pic twitter com) (road info) (road info pic) (road signs) (road signs drive) (roads Mille) (roads Mille Lacs) (safety stay) (safety stay closed) (signs drive) (signs drive caution) (stay closed) (stay closed areas) (twitter com) (twitter com ZxinL8ZBBy) (water flooding) (water flooding continues) (text_combined) ,511mn 511mn Aitkin Kanabec Aitkin Kanabec Kanabec Kanabec Lacs Aitkin Lacs Aitkin Kanabec Mille Lacs Mille Lacs Aitkin Mille 511mn 511mn 511mn State State State Mille Mille Lacs ,511mn 511mn Aitkin Kanabec Aitkin Kanabec Kanabec Kanabec Lacs Aitkin Lacs Aitkin Kanabec Mille Lacs Mille Lacs Aitkin Mille 511mn 511mn 511mn State State State Mille Mille Lacs 
8,2018-04-13 23:05:46+00:00,"EB I-94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org #mnwx",#mnwx,,twitter,(511mn org) (511mn org mnwx) (94 closed) (94 closed just) (EB I) (EB I 94) (I 94) (I 94 closed) (Low visibility) (Low visibility blowing) (Munich exit) (Munich exit Low) (New Munich) (New Munich exit) (Updates http) (Updates http www) (blowing snow) (blowing snow roads) (closed just) (closed just east) (covered Updates) (covered Updates http) (east New) (east New Munich) (exit Low) (exit Low visibility) (http www) (http www 511mn) (just east) (just east New) (org mnwx) (roads covered) (roads covered Updates) (snow roads) (snow roads covered) (visibility blowing) (visibility blowing snow) (www 511mn) (www 511mn org) (text_combined) ,511mn 511mn 94 94 EB EB 94 94 94 Munich Munich New Munich New Munich Updates Updates New New Munich 511mn New Updates 511mn 511mn ,511mn 511mn 94 94 EB EB 94 94 94 Munich Munich New Munich New Munich Updates Updates New New Munich 511mn New Updates 511mn 511mn 
9,2018-02-27 16:10:40+00:00,Heading from #CentralMinnesota to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 #CentralMN #MNtraffic https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,#CentralMinnesota #CentralMN #MNtraffic,,twitter,(35w94 CentralMN) (35w94 CentralMN MNtraffic) (CentralMN MNtraffic) (CentralMN MNtraffic https) (CentralMinnesota Twin) (CentralMinnesota Twin Cities) (Cities weekend) (Cities weekend You) (Heading CentralMinnesota) (Heading CentralMinnesota Twin) (MNtraffic https) (MNtraffic https twitter) (MnDOTnews stat) (MnDOTnews stat 968508565047607297) (Twin Cities) (Twin Cities weekend) (You ll) (You ll want) (closed temporarily) (closed temporarily construction) (com MnDOTnews) (com MnDOTnews stat) (construction http) (construction http mndot) (gov 35w94) (gov 35w94 CentralMN) (http mndot) (http mndot gov) (https twitter) (https twitter com) (know major) (know major road) (ll want) (ll want know) (major road) (major road closed) (mndot gov) (mndot gov 35w94) (road closed) (road closed temporarily) (stat 968508565047607297) (temporarily construction) (temporarily construction http) (twitter com) (twitter com MnDOTnews) (want know) (want know major) (weekend You) (weekend You ll) (text_combined) ,CentralMN MNtraffic CentralMN MNtraffic CentralMinnesota CentralMinnesota CentralMinnesota Twin MNtraffic MnDOTnews MnDOTnews 968508565047607297 Twin Cities Twin Cities MnDOTnews 35w94 968508565047607297 MnDOTnews ,CentralMN MNtraffic CentralMN MNtraffic CentralMinnesota CentralMinnesota CentralMinnesota Twin MNtraffic MnDOTnews MnDOTnews 968508565047607297 Twin Cities Twin Cities MnDOTnews 35w94 968508565047607297 MnDOTnews 
