,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,text,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
0,0,0,0,0,0,0,0,"I-94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.","Interstate 94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.","At Interstate 94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.","At Interstate 94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.","At Interstate 94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.","At Interstate 94 Clearwater to St. Cloud - both directions closed due to semi crashes. Roads are icy or compacted, with very high winds. Postpone travel if possible.",,{'St. Cloud'},,,,,{'St. Cloud'}
1,1,1,1,1,1,1,1,"Hazardous driving conditions with ice covered or compacted roads in nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , #Sherburne and Mille Lacs counties. I-94 remains closed between Monticello and Albertville. Consider postponing any unnecessary travel.","Hazardous driving conditions with ice covered or compacted roads at nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , and Mille Lacs counties. Interstate 94 remains closed at Monticello and Albertville. Consider postponing any unnecessary travel.","At Hazardous driving conditions with ice covered or compacted roads at nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , and Mille Lacs counties. Interstate 94 remains closed Monticello and Albertville. Consider postponing any unnecessary travel.","At Hazardous driving conditions with ice covered or compacted roads at nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , and Mille Lacs counties. Interstate 94 remains closed Monticello and Albertville. Consider postponing any unnecessary travel.","At Hazardous driving conditions with ice covered or compacted roads at nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , #Sherburne and Mille Lacs counties. Interstate 94 remains closed Monticello and Albertville. Consider postponing any unnecessary travel.","At Hazardous driving conditions with ice covered or compacted roads at nearly all of @StearnsCountyMN , @WrightCountyMN , @BentonCountyMN , and Mille Lacs counties. Interstate 94 remains closed at Monticello and Albertville. Consider postponing any unnecessary travel.",{'Mille Lacs'},{'Interstate 94'},{'Interstate 94'},{'Interstate 94'},"{'Interstate 94', 'Mille Lacs'}",{'Interstate 94'},"{'Interstate 94', 'Mille Lacs'}"
2,2,2,2,2,2,2,2,Hwy 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,Highway 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,At Highway 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,At Highway 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,At Highway 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,At Highway 95 at Fanny Lake Road just east of Cambridge - closed due at crash. Traffic is being detoured. Expect delays.,"{'Fanny Lake Road', 'Cambridge'}","{'Fanny Lake Road', 'Cambridge'}","{'Fanny Lake Road', 'Highway 95', 'Cambridge'}","{'Fanny Lake Road', 'Highway 95', 'Cambridge'}","{'Fanny Lake Road', 'Highway 95', 'Cambridge'}","{'Fanny Lake Road', 'Highway 95', 'Cambridge'}","{'Fanny Lake Road', 'Highway 95', 'Cambridge'}"
3,3,3,3,3,3,3,3,Ramp from Stearns County Road 75 to eastbound I-94 is temporarily closed due to flooding.,Ramp from Stearns County Road 75 to eastbound Interstate 94 is temporarily closed due to flooding.,At Ramp from Stearns County Road 75 to eastbound Interstate 94 is temporarily closed due to flooding.,At Ramp from Stearns County Road 75 to Eastbound Interstate 94 is temporarily closed due to flooding.,At Ramp from Stearns County Road 75 to Eastbound Interstate 94 is temporarily closed due to flooding.,At Ramp from Stearns County Road 75 to eastbound Interstate 94 is temporarily closed due to flooding.,{'Stearns County Road 75'},"{'Stearns County Road 75', 'Interstate 94'}","{'Stearns County Road 75', 'Interstate 94'}","{'Stearns County Road 75', 'Eastbound Interstate 94'}","{'Stearns County Road 75', 'Eastbound Interstate 94'}","{'Stearns County Road 75', 'Interstate 94'}","{'Stearns County Road 75', 'Eastbound Interstate 94', 'Interstate 94'}"
4,4,4,4,4,4,4,4,"Correction/update - EB I-94 at Hwy 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along I-94 and other roads in CentralMN. Plows on I-94 (and other roads) roll at approx. 30 mph when removing snow.","Correction/update - Eastbound Interstate 94 at Highway 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along Interstate 94 and other roads at CentralMN. Plows on Interstate 94 (and other roads) roll at approx. 30 mph when removing snow.","At Correction/update - Eastbound Interstate 94 at Highway 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along Interstate 94 and other roads at CentralMN. Plows on Interstate 94 (and other roads) roll at approx. 30 mph when removing snow.","At Correction/update - Eastbound Interstate 94 at Highway 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along Interstate 94 and other roads at CentralMN. Plows on Interstate 94 (and other roads) roll at approx. 30 mph when removing snow.","At Correction/update - Eastbound Interstate 94 at Highway 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along Interstate 94 and other roads at CentralMN. Plows on Interstate 94 (and other roads) roll at approx. 30 mph when removing snow.","At Correction/update - Eastbound Interstate 94 at Highway 4 near Melrose, is closed. Snowplow was hit. Slow down, plows are out working all along Interstate 94 and other roads at CentralMN. Plows on Interstate 94 (and other roads) roll at approx. 30 mph when removing snow.",,"{'Melrose', 'Interstate 94', 'Highway 4'}","{'Melrose', 'Interstate 94', 'Highway 4'}","{'Melrose', 'Interstate 94', 'Highway 4'}","{'Melrose', 'Interstate 94', 'Highway 4'}","{'Melrose', 'Interstate 94', 'Highway 4'}","{'Melrose', 'Interstate 94', 'Highway 4'}"
5,5,5,5,5,5,5,5,"Eastbound I-94 is closed in Monticello (vehicle fire). Avoid the area, seek an alternate route. WB near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN","Eastbound Interstate 94 is closed at Monticello (vehicle fire). Avoid the area, seek an alternate route. Westbound near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN","At Eastbound Interstate 94 is closed at Monticello (vehicle fire). Avoid the area, seek an alternate route. Westbound near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN","At Eastbound Interstate 94 is closed at Monticello (vehicle fire). Avoid the area, seek an alternate route. Westbound near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN","At Eastbound Interstate 94 is closed at Monticello (vehicle fire). Avoid the area, seek an alternate route. Westbound near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN","At Eastbound Interstate 94 is closed at Monticello (vehicle fire). Avoid the area, seek an alternate route. Westbound near Monticello is slow. Keep your eyes on the road ahead, slow down if needed, do what you can to keep traffic moving. @WrightCountyMN",,,{'Eastbound Interstate 94'},{'Eastbound Interstate 94'},{'Eastbound Interstate 94'},{'Eastbound Interstate 94'},{'Eastbound Interstate 94'}
6,6,6,6,6,6,6,6,"Hwy 210 Brainerd to Ironton will be closed, detoured and reconstructed in 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ #Brainerd #Ironton #Crosby #CentralMN pic.twitter.com/Q8D10Da5qe","Highway 210 Brainerd to Ironton will be closed, detoured and reconstructed at 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ pic.twitter.com/Q8D10Da5qe","At Highway 210 Brainerd to Ironton will be closed, detoured and reconstructed at 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ pic.twitter.com/Q8D10Da5qe","At Highway 210 Brainerd to Ironton will be closed, detoured and reconstructed at 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ pic.twitter.com/Q8D10Da5qe","At Highway 210 Brainerd to Ironton will be closed, detoured and reconstructed at 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ #Brainerd #Ironton #Crosby #CentralMN pic.twitter.com/Q8D10Da5qe","At Highway 210 Brainerd to Ironton will be closed, detoured and reconstructed at 2019. Get all the details, and your questions answered, at tonight's open house. 16589 County Road 142, Brainerd https:// goo.gl/ADqEEQ pic.twitter.com/Q8D10Da5qe",{'County Road 142'},{'County Road 142'},{'County Road 142'},{'County Road 142'},{'County Road 142'},{'County Road 142'},{'County Road 142'}
7,7,7,7,7,7,7,7,"Surface water/flooding continues on area roads in Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy","Surface water/flooding continues on area roads at Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy","At Surface water/flooding continues on area roads at Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy","At Surface water/flooding continues on area roads at Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy","At Surface water/flooding continues on area roads at Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy","At Surface water/flooding continues on area roads at Mille Lacs, Aitkin and Kanabec counties. For your safety, please stay out of closed areas, follow road signs and drive with caution. Please check http:// 511mn.org for the latest State road info. pic.twitter.com/ZxinL8ZBBy","{'Kanabec', 'Mille Lacs'}",{'Kanabec'},{'Kanabec'},{'Kanabec'},{'Kanabec'},{'Kanabec'},"{'Kanabec', 'Mille Lacs'}"
8,8,8,8,8,8,8,8,"EB I-94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org #mnwx","Eastbound Interstate 94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org ","At Eastbound Interstate 94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org ","At Eastbound Interstate 94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org ","At Eastbound Interstate 94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org #mnwx","At Eastbound Interstate 94 closed just east of the New Munich exit. Low visibility, blowing snow, roads covered. Updates at http://www. 511mn.org ",{'New Munich'},{'New Munich'},"{'Eastbound Interstate 94', 'New Munich'}","{'Eastbound Interstate 94', 'New Munich'}","{'Eastbound Interstate 94', 'New Munich'}","{'Eastbound Interstate 94', 'New Munich'}","{'Eastbound Interstate 94', 'New Munich'}"
9,9,9,9,9,9,9,9,Heading from #CentralMinnesota to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 #CentralMN #MNtraffic https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,Heading from to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,At Heading from to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,At Heading from to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,At Heading from #CentralMinnesota to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 #CentralMN #MNtraffic https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,At Heading from to the Twin Cities this weekend? You'll want to know about this major road closed (temporarily) for construction. http:// mndot.gov/35w94 https:// twitter.com/MnDOTnews/stat us/968508565047607297 …,,,,,,,set()
