,date,geo,hashtags,text,type,username
0,2019-04-22 20:35:31+00:00,,,Congrats to our ‘Safe Routes to School’ grant recipients @MnDOTCentral: Rockford Area Schools; City of Pierz; City of Holdingford; City of Sauk Centre; and Walker-Hackensack-Akeley School District.https://twitter.com/MnDOTnews/status/1120392155967762432 …,official,MnDOTcentral
1,2019-04-22 20:23:19+00:00,,,@MnDOTcentral thanks all our 'Adopt a Highway volunteers' for making our roadside ditches look so clean and beautiful in central Minnesota.THANK YOU!https://twitter.com/MnDOTnews/status/1120392060576641025 …,official,MnDOTcentral
2,2019-04-22 20:18:08+00:00,,,"Hwy 55 roadwork and DETOUR between Annandale and Maple Lake, @WrightCountyMN begins Monday, April 29. Plan ahead. Learn more, visit http://MnDOT.gov/d3/projects/2019/h55/ … pic.twitter.com/JjZCGKdTUA",official,MnDOTcentral
3,2019-04-22 20:04:17+00:00,,#littlefallsMN #morrison,"Hwy 27 Little Falls: DETOUR and construction begins Monday, April 29. Plan ahead. #littlefallsMN #morrison Learn more, visit http://www.mndot.gov/d3/littlefalls pic.twitter.com/fQppCB5Ewj",official,MnDOTcentral
4,2019-04-19 17:34:51+00:00,,,"Join us in BRAHAM: Construction Open House for the Hwy 65/107 'Continuous Green' signalized intersection project. Learn how this new, safer intersection works and what to expect during roadwork. Thurs, April 25, 4-6 p.m. (arrive anytime), Braham City Hall. http://MnDOT.gov/d3/projects/braham …pic.twitter.com/DADqeRCnwg",official,MnDOTcentral
5,2019-04-22 16:27:06+00:00,,#MotherNature #woohoo #rainyday #mndot #rochmnpic,#MotherNature is giving away free car washes today! #woohoo #rainyday #mndot #rochmnpic.twitter.com/pQCqR6EdEY,official,mndotsoutheast
6,2019-04-21 23:07:56+00:00,,#knowbeforeyougo #MnDOT #wabashamnpic,"A reminder that Hwy 60 at Hwy 61 in Wabasha is closed and detoured. Check http://www.511mn.org for road updates on flooding, construction. #knowbeforeyougo #MnDOT #wabashamnpic.twitter.com/l4b9mYvii5",official,mndotsoutheast
7,2019-04-20 14:33:47+00:00,,#floodrun #MnDOT,Hwy 60 at Wabasha at railroad bridge near Hwy 61 is closed because of high water on the road. #floodrun #MnDOT Follow detourpic.twitter.com/yGeifni5jc,official,mndotsoutheast
8,2019-04-17 19:11:41+00:00,,#NorthfieldMN #Flood #mnwx #MnDOTpic,"Heavy rain has flooded roadways in #NorthfieldMN and Dundas. 3-4"" of rain has fallen in the area in a short period of time. The @NWSTwinCities has issued a Flash #Flood Warning until 3 pm. Turn around, don`t drown. Most flood deaths occur in vehicles. #mnwx #MnDOTpic.twitter.com/nMr6JAQpOA",official,mndotsoutheast
9,2019-04-17 16:10:39+00:00,,#Mantorville #MnDOThttp,"Stop by on Thursday evening, learn about construction and the detour on Hwy 57 this summer. Open house April 18 for Hwy 57 bridge replacements north of #Mantorville, Berne. #MnDOThttp://www.dot.state.mn.us/d6/newsrels/19/04/2-hwy57-openhouse.html …",official,mndotsoutheast
